Country,Oil Consumption in TWh unscrapped,Oil Consumption in TWh scrapped
United States of America,"10,274 TWh",10274
China,"7,752 TWh",7752
India,"2,844 TWh",2844
Japan,"2,092 TWh",2092
Saudi Arabia,"1,923 TWh",1923
Russia,"1,825 TWh",1825
South Korea,"1,473 TWh",1473
Brazil,"1,314 TWh",1314
Germany,"1,299 TWh",1299
Canada,"1,250 TWh",1250
Iran,"1,089 TWh",1089
Indonesia,940 TWh,940
Mexico,914 TWh,914
France,875 TWh,875
United Kingdom,863 TWh,863
Singapore,849 TWh,849
Thailand,756 TWh,756
Spain,755 TWh,755
Italy,691 TWh,691
Australia,595 TWh,595
Turkey,565 TWh,565
United Arab Emirates,543 TWh,543
Taiwan,537 TWh,537
Netherlands,459 TWh,459
Malaysia,436 TWh,436
Western Africa,420 TWh,420
Egypt,418 TWh,418
Iraq,413 TWh,413
Belgium,384 TWh,384
Poland,374 TWh,374
Eastern Africa,369 TWh,369
Other Caribbean,360 TWh,360
Argentina,329 TWh,329
South Africa,329 TWh,329
Other Middle East,301 TWh,301
Vietnam,297 TWh,297
Other Asia & Pacific,286 TWh,286
Central America,264 TWh,264
Philippines,253 TWh,253
Pakistan,251 TWh,251
Algeria,245 TWh,245
Hong Kong,242 TWh,242
Kuwait,217 TWh,217
Chile,211 TWh,211
Europe (other),206 TWh,206
Venezuela,196 TWh,196
Colombia,195 TWh,195
Kazakhstan,191 TWh,191
Other Northern Africa,188 TWh,188
Greece,188 TWh,188
Oman,169 TWh,169
Sweden,160 TWh,160
Morocco,158 TWh,158
Austria,152 TWh,152
Qatar,151 TWh,151
Portugal,142 TWh,142
Peru,141 TWh,141
Israel,140 TWh,140
Middle Africa,138 TWh,138
Ecuador,137 TWh,137
Romania,126 TWh,126
Switzerland,123 TWh,123
Other South America,123 TWh,123
Ukraine,122 TWh,122
Czech Republic,119 TWh,119
Finland,108 TWh,108
Norway,107 TWh,107
Hungary,102 TWh,102
Bangladesh,102 TWh,102
New Zealand,99 TWh,99
Denmark,92 TWh,92
Ireland,89 TWh,89
Belarus,88 TWh,88
Turkmenistan,87 TWh,87
Sri Lanka,68 TWh,68
Azerbaijan,60 TWh,60
Bulgaria,59 TWh,59
Other CIS,50 TWh,50
Slovakia,47 TWh,47
Croatia,39 TWh,39
Lithuania,38 TWh,38
Other Southern Africa,36 TWh,36
Luxembourg,35 TWh,35
Cyprus,31 TWh,31
Slovenia,30 TWh,30
Uzbekistan,25 TWh,25
Trinidad and Tobago,23 TWh,23
Latvia,22 TWh,22
Estonia,18 TWh,18
Macedonia,13 TWh,13
Iceland,11 TWh,11
